Method,Enzyme_Activity_tot,Enzyme_Activity_avg,Enzyme_Activity_avg_norm,S_estimate,R_squared,Method_Group,Day,Group,Name,Id
Glass homogenizer,0.145326645,0.048442215,0.045598101,0.26549638,0.999895619,0,Mon,1,f29fcb61,2000012618
Bead mill homogenizer,0.191772249,0.063924083,0.060171007,0.36296366,0.999463211,0,Mon,1,f29fcb61,2000012618
pH6.0,0.078493719,0.026164573,0.024628413,0.181922705,0.999833315,1,Mon,1,f29fcb61,2000012618
pH6.5,0.11589122,0.038630407,0.036362359,0.254749981,0.999809106,1,Mon,1,f29fcb61,2000012618
pH7.0,0.166945219,0.055648406,0.052381207,0.33520747,0.99983776,1,Mon,1,f29fcb61,2000012618
pH7.5,0.125545092,0.041848364,0.039391385,0.281639844,0.999930664,1,Mon,1,f29fcb61,2000012618
Electric homogenizer,0.121419516,0.040473172,0.039046867,0.255325846,0.995712208,0,Mon,6,243a9a35,2100012251
Glass homogenizer,0.129659407,0.043219802,0.041696704,0.339455298,0.99875489,0,Mon,6,243a9a35,2100012251
Bead mill homogenizer,0.138794784,0.046264928,0.044634517,0.307066511,0.999403486,0,Mon,6,243a9a35,2100012251
pH6.0,0.074450057,0.024816686,0.023942127,0.270869612,0.998745568,1,Mon,6,243a9a35,2100012251
pH6.5,0.129659407,0.043219802,0.041696704,0.339455298,0.99875489,1,Mon,6,243a9a35,2100012251
pH7.0,0.131340662,0.043780221,0.042237373,0.293954533,0.999817454,1,Mon,6,243a9a35,2100012251
pH7.5,0.106716582,0.035572194,0.034318603,1,0.991012697,1,Mon,6,243a9a35,2100012251
Electric homogenizer,0.100487856,0.033495952,0.034115248,0.324558069,0.998501621,0,Fri,3,3a376b65,2100012119
Glass homogenizer,0.13791412,0.045971373,0.046821323,0.380186241,0.998149846,0,Fri,3,3a376b65,2100012119
Bead mill homogenizer,0.077523449,0.02584115,0.026318918,0.322045877,0.998433723,0,Fri,3,3a376b65,2100012119
pH6.0,0.071487539,0.02382918,0.02426975,0.172866612,0.999619239,1,Fri,3,3a376b65,2100012119
pH6.5,0.100487856,0.033495952,0.034115248,0.324558069,0.998501621,1,Fri,3,3a376b65,2100012119
pH7.0,0.102298883,0.034099628,0.034730085,0.324338807,0.99923329,1,Fri,3,3a376b65,2100012119
pH7.5,0.134746908,0.044915636,0.045746067,0.364892026,0.999246743,1,Fri,3,3a376b65,2100012119
